text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,id_str,screen_name,coordinates,country,place_full_name,place,retweet_count,favorite_count
0,0,0,['social media'],2020-05-26 02:00:55+00:00,1265100572224401408,"At 4:20 PM EDT, 1 S Shadeville [Wakulla Co, FL] PUBLIC reports NON-TSTM WND DMG. SOCIAL MEDIA REPORT OF TREES DOWN… https://t.co/uuGfIb7qQm",34940148,iembot_tae,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin,0,0
['drink'],0,0,['drink'],2020-03-12 02:09:44+00:00,1237923701254914051,@AngieWilkey2 @ParahRp4333 That’s not a drink!!!,1008206929724952576,ColinFricker2,,,,,0,1
0,0,0,['take out'],2020-04-09 05:06:17+00:00,1248114992005746688,@keytahnie I think I’m get Jakes take out tbh,732046671719321600,NekaylaBayy,,,,,0,1
0,['watch'],0,0,2020-05-22 19:24:13+00:00,1263913573744599040,Please watch this and retweet it this is not for likes for attention  https://t.co/OtZCBwYLN0,4271744236,Camper_coastie,,,,,0,0
0,['beer'],0,0,2020-05-05 22:50:07+00:00,1257804799749369858,I need some tacos &amp; beer! https://t.co/6OgojvZ12C,76101296,ocmominthesouth,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,3
0,['deliver'],0,0,2020-07-11 21:59:31+00:00,1282072050115452928,@USPS  i need a new mail man. mine doesn’t deliver my packages on time and i’m getting angry,2604604703,jayceebaucom,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,0
0,['cooking'],0,['on twitter'],2020-06-24 00:05:20+00:00,1275580731515944962,"@Cowboys_Burner Haha I’ve seen it on Twitter 😂, I need to get more into Tik Tok for cooking tips I guess 🤷🏻‍♂️",391574014,Kyle_Youmans,"[[-96.983818, 33.140885], [-96.8818613, 33.140885], [-96.8818613, 33.199847], [-96.983818, 33.199847]]",United States,"Little Elm, TX",city,0,0
0,['watches'],0,0,2020-06-12 00:49:17+00:00,1271243140415066113,iPhone iPad MacBook 2 Apple Watches AirPods🥴 https://t.co/MtPddSoKC3,805488239448571904,melanintopia,"[[-86.7858813, 34.5784264], [-86.4369414, 34.5784264], [-86.4369414, 34.833627], [-86.7858813, 34.833627]]",United States,"Huntsville, AL",city,0,0
0,['hbo'],0,0,2020-04-08 06:47:00+00:00,1247777949870247937,I’m on hbo going in..,59360127,AirBoss_PL,"[[-86.912935, 33.294784], [-86.607247, 33.294784], [-86.607247, 33.476326], [-86.912935, 33.476326]]",United States,"Hoover, AL",city,0,0
0,0,0,['stay in'],2020-06-16 20:24:48+00:00,1272988520286748672,Who all stay in Alabama?,1189466071964815360,DreddyTatted,,,,,1,2
['meeting'],0,0,['zoom meeting'],2020-07-10 15:29:24+00:00,1281611489527451649,Only got a zoom meeting today and I’m free for the weekend 🙌🏾,1551654980,savaiyah,,,,,0,0
0,['watch'],0,0,2020-06-22 10:16:16+00:00,1275009703853068289,@wale__awe It’s like u didn’t watch korra...she a fucking baddie I believed her!!! Action movie baddie!! Her fighti… https://t.co/vKvnIcFGGy,186479475,BellaLaBomba,"[[32.2692963, 34.562636], [34.6063538, 34.562636], [34.6063538, 35.7087061], [32.2692963, 35.7087061]]",Cyprus,Cyprus,country,0,0
0,['watch'],0,0,2020-07-10 21:31:25+00:00,1281702592276508673,@justinlucasbass is whacking em. Y’all need to get it on @YouTube so some of us at work can watch it live too.… https://t.co/Q8TbfbykOy,2945794076,basscatlildave,,,,,0,1
['drink'],0,0,['drink'],2020-04-17 18:28:03+00:00,1251215865686765569,@MamaKatt__ Ahhht ahhht girl put those sodas down! I don’t drink sodas at all. I’ve ever had one before in my life… https://t.co/dBtCajWc4f,94215890,_astoldbytimiya,"[[-88.301598, 30.523874], [-88.021513, 30.523874], [-88.021513, 30.843424], [-88.301598, 30.843424]]",United States,"Mobile, AL",city,0,1
['game'],['watch'],0,0,2020-05-31 18:09:18+00:00,1267156214951153667,@JSniperton I LOVE THIS GAME! Im ready to watch you play it now!,122970519,FilipinoThund3r,,,,,0,0
0,['watch'],0,0,2020-04-13 00:47:31+00:00,1249499421852794881,"7:45 PM: NO active tornado warnings in Alabama.  Getting a quick break.

Tornado Watch remains in effect until at l… https://t.co/KaAZYKtvXO",740267807888318464,GriffinHardyWX,,,,,1,6
0,['watched'],0,0,2020-06-11 02:37:31+00:00,1270907990162526208,@NappyHairRevel @AlHendiify I watched this about 8 times already!!😂🤣😅,1202466080620523520,TmJoe21_,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,0
0,['watch'],0,0,2020-07-01 08:31:50+00:00,1278244910970204160,#STORM12ALERT Flash Flood Watch for Portions of the area  in MO until 1:00pm Wednesday. #MOWX,1217238095977906176,LarontaBarbee,,,,,2,4
['game'],['watch'],0,0,2020-01-12 22:11:56+00:00,1216482973568184322,The game slows way down for Patrick Mahomes. He is impressive and fun to watch. #NFLPlayoffs2020,564274599,brockanthany,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,0
0,0,0,['on twitter'],2020-05-22 03:46:39+00:00,1263677627770036224,i’m more scared of getting suspended on twitter than going to jail,888232686153867264,copkiller1999,"[[-81.188663, 31.922596], [-81.03057, 31.922596], [-81.03057, 32.111973], [-81.188663, 32.111973]]",United States,"Savannah, GA",city,5,22
0,0,0,['stay at home'],2020-04-21 18:40:13+00:00,1252668479116902409,@FrancaRose33 Some people like me won't have a home long if we stay at home people needs to go back to work. Use wh… https://t.co/K6RQoZT9sE,2365911318,gm56trucker,"[[-86.895519, 34.125239], [-86.795043, 34.125239], [-86.795043, 34.238319], [-86.895519, 34.238319]]",United States,"Cullman, AL",city,0,0
0,['watch'],0,0,2020-06-25 22:58:36+00:00,1276288716403859461,I can swim like a fish but i will never do this 😂 I watch too many movies https://t.co/HOHB7hf44A,2955648427,loading_24,,,,,0,5
0,['watching'],0,0,2020-02-05 03:04:34+00:00,1224891537554800640,@TonyMacUMP Dude after watching the double collapse to Arkansas last sat I half expected it. I don't understand why… https://t.co/dSQSW4dP7z,3396384184,DannyBritton256,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,1
0,['baked'],0,0,2020-07-12 21:33:55+00:00,1282427998134833153,Update: tonight’s dinner consists of baked bbq lays and Ben and Jerry’s,876918438,sophiaandretta2,,,,,0,2
0,"['watch', 'twitch', 'twitch']",0,0,2020-01-05 23:50:46+00:00,1213971127770517504,Now Playing Infamous  - watch on twitch https://t.co/9wkPlcYUry   #livestream #live #Twitch #Mixer #Youtubelive,1075173421,Feinsanity,,,,,0,2
"['drinking', 'drink']",0,0,['drink'],2020-02-22 19:49:38+00:00,1231305065144750082,"So, those place I'm drinking has a #BuyADrink board... And Bill Murray  can pretty much drink for free if he ever v… https://t.co/vikpxlUxkW",388428549,kayakingsmith,,,,,0,1
0,['watch'],0,0,2020-02-18 02:17:56+00:00,1229590845814398976,@KingVicx I don't watch football either!,37336797,CurtBurt,"[[-87.095997, 32.372411], [-86.978868, 32.372411], [-86.978868, 32.4571783], [-87.095997, 32.4571783]]",United States,"Selma, AL",city,0,0
0,['watch'],0,0,2020-05-22 01:51:59+00:00,1263648774142021633,@FantasticMrFOUX @KeithDemolder HAHAHAHA I FORGOT ABOUT THIS!!! Where can I find this to watch tonight?!,415997259,_HaileySutton,,,,,0,2
0,['watching'],0,0,2020-01-12 23:07:22+00:00,1216496924443934724,It’s some crazy ass people in this world I almost shitted myself watching.. HELL TO DA FUCK NAWL DAMN YT PEOPLE https://t.co/yAQauM1FSt,2926277236,Wildatmoss18,"[[-91.655009, 30.146096], [-88.097889, 30.146096], [-88.097889, 34.995968], [-91.655009, 34.995968]]",United States,"Mississippi, USA",admin,1,1
0,['clean'],0,0,2020-03-25 21:45:31+00:00,1242930637805420554,"THIS BILL IS NOT FOR THE PEOPLE! VOTE IT DOWN, WE NEED A CLEAN BILL! How do the Democratic Party walk around and lo… https://t.co/ng60iebIgl",751212289,jujugi5645,,,,,1,1
0,['watch'],0,0,2020-03-28 00:14:12+00:00,1243692831383920643,"My dick and head good asf , I’m toxic btw so I’m just sit back and watch that bitch go crazy 🥴🤷🏾‍♂️",634627204,KeyanteJackson,"[[-86.7858813, 34.5784264], [-86.4369414, 34.5784264], [-86.4369414, 34.833627], [-86.7858813, 34.833627]]",United States,"Huntsville, AL",city,0,0
0,"['watch', 'watch']",0,0,2020-04-23 15:07:28+00:00,1253339713676521478,"@NewM4UA I might watch it. Idk yet. Don't care much for the NFL, but I'll watch college football for 12 hours a day every Saturday",2275974465,TheMattRTR,,,,,0,1
0,0,0,['social distancing'],2020-06-26 21:01:23+00:00,1276621604492062722,"Face coverings are not required for:
1. Outdoor activities in parks &amp; other open spaces where social distancing is… https://t.co/c8Moy9hqg9",2270622163,Rach_TV_,,,,,0,1
0,['watching'],0,0,2020-04-10 14:33:56+00:00,1248620234270863360,It’s 9:30AM &amp; my parents are watching a horror movie,1228497127,KerriganNena,,,,,0,0
0,['beers'],0,0,2020-04-23 17:21:23+00:00,1253373417132351488,@scott_porbansky Did you use it after eating an entire pizza and 8 beers by yourself,1206709081840463872,MattSkudlarek,,,,,0,0
0,['watched'],0,0,2020-03-18 17:45:46+00:00,1240333588542803968,Just watched a lady pump gas with a napkin and pressed the button with her elbow... I respect it,139539962,slick_vick95,,,,,2,2
0,['twitch'],0,0,2020-07-01 00:06:34+00:00,1278117760279678976,Weather is Bleh! And So am I!  https://t.co/2dwv3I0y4n #PathtoPartner #twitch #twitchaffiliate #SupportSmallStreamers,1115005830280163328,KandaharKaptain,,,,,1,7
0,0,0,['stay in'],2020-03-30 17:43:19+00:00,1244681626845618182,Facts folks gonna leave until you force them to stay in 😂😂😂 https://t.co/lG0jJqUm1w,3041732252,shifty_lance,,,,,1,1
0,0,0,['on twitter'],2020-04-01 08:00:26+00:00,1245259716348923905,"It's my #Twitterversary! I have been on Twitter for 8 years, since 1 Apr 2012 (via @twi_age).",542138554,taaayleeer,,,,,0,0
0,['watching'],0,0,2020-04-12 23:20:23+00:00,1249477495067475973,@dylanMD16 I’m not watching whats wrong with it?,2881381176,J0hnnyBroadcast,,,,,0,0
0,['watch'],0,0,2020-04-22 13:51:52+00:00,1252958302025080839,#STORM12ALERT Severe Thunderstorm Watch for Portions of the area  in OK until 3:00pm. #OKWX,1217238095977906176,LarontaBarbee,,,,,0,1
0,['tequila'],0,0,2020-02-15 06:37:47+00:00,1228569073690324993,FYI tequila + Stella Rosa not made for people who don’t have nobody to go home to 🤣🤣🤣,290931186,earlandreaaa,"[[-86.709501, 33.6188], [-86.629573, 33.6188], [-86.629573, 33.676838], [-86.709501, 33.676838]]",United States,"Center Point, AL",city,0,1
0,['watch'],0,0,2020-06-03 13:54:51+00:00,1268179343521570819,now yk I really will 🤣 might set the phone up and all 😝🥳 ACTIONNNN “ sis watch me do this “ 😭 https://t.co/T5n1SS9fHG,4054774289,babyyygirlc,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,1
0,"['clean', 'disinfect']",0,0,2020-03-12 15:06:41+00:00,1238119225987923970,the fact that some of y’all don’t think to clean up and disinfect things just bc is disgusting,782239458083110912,mowavey_,"[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]",United States,"Missouri, USA",admin,0,0
0,['watched'],0,0,2020-02-03 00:02:22+00:00,1224120910753550338,@GSPTcal I think I watched part of the 1st one,519747173,Crafty_Righty,,,,,0,0
0,['watches'],0,0,2020-02-05 23:12:07+00:00,1225195425172508676,Rain &amp; storms are drenching central and south Alabama.  Look at the lightning icons on this map.  No watches or war… https://t.co/jiEaORC8rr,3131601137,RichThomasWX,,,,,1,3
0,['netflix'],0,0,2020-07-03 18:20:04+00:00,1279117721679081472,"@OnlySeay @ccccaaarrr It’s on Netflix, it’s really good on sharing the survivors’ stories with Jeff, his associates… https://t.co/NlSIatYcoI",2168152552,cros_berry,,,,,0,2
0,['watching'],0,0,2020-03-01 05:54:41+00:00,1233994045963239425,@SamfordMBB GOAT ... shock the world in Asheville! Absolutely loved watching you play these 4 years https://t.co/XUCS2HkgDq,69032704,HoopsInAHurry,"[[-86.787976, 33.438729], [-86.691524, 33.438729], [-86.691524, 33.523633], [-86.787976, 33.523633]]",United States,"Mountain Brook, AL",city,2,5
0,['watching'],0,0,2020-01-30 04:16:03+00:00,1222735198594519040,Just now watching the new lion king,3226976345,allfor_colee,"[[-86.418059, 32.2845933], [-86.071398, 32.2845933], [-86.071398, 32.443697], [-86.418059, 32.443697]]",United States,"Montgomery, AL",city,0,0
['bar'],['wine'],0,0,2020-01-19 07:09:51+00:00,1218792670862233605,"@elicoleman85 🤣🤣

I mean, probably. 
Pjs, tv and wine sounds better than any bar imho.",3011913140,christieish,"[[-86.912935, 33.294784], [-86.607247, 33.294784], [-86.607247, 33.476326], [-86.912935, 33.476326]]",United States,"Hoover, AL",city,0,0
0,['watch'],0,0,2020-05-13 01:33:15+00:00,1260382567523631112,@TheUltimateArt_ @animesvns Oh he go have to take me after I watch it 🤣😅,38691798,Ash_Tearra,,,,,0,1
['drink'],0,0,['drink'],2020-04-12 17:58:22+00:00,1249396455309225984,Oh yea y'all just like to tweet bs now! Oml a smoothie is not a feminine drink you twat 🤦🏾‍♂️ https://t.co/uKd5DYWvtp,3295795738,Mkgj_24,,,,,0,0
0,['cook'],0,0,2020-03-25 20:13:30+00:00,1242907482097319939,"Apple CEO Tim Cook announces Apple’s 10 million mask donation to medical workers
https://t.co/dFDiM9eOIS",872854858751238144,JordanCBS42,,,,,1,1
0,['netflix'],0,0,2020-03-27 00:26:53+00:00,1243333634985201666,Best movie to ever drop on Netflix https://t.co/4SiemnsD3I,293860205,KillaJay_25,,,,,0,0
['service'],0,0,['take out'],2020-03-17 19:52:06+00:00,1240002993816305664,Now Offering TAKE OUT w/ CURB SIDE Service of ALL of our menu items including GUMBO &amp; LOBSTER CHOWDER in all sizes!… https://t.co/qRWzUwmWwy,2173235355,WolfBaySeafood,,,,,0,2
0,['watched'],0,0,2020-06-27 05:40:42+00:00,1276752295351418881,if you watched hetalia as teen chances are you grew up to be a nazi,888232686153867264,copkiller1999,,,,,0,6
0,['watched'],0,0,2020-04-05 10:06:09+00:00,1246740903634534404,@myaa_w Man im to mad i watched the whole thing,2423972203,Tresean1k,,,,,0,0
0,['clean'],0,0,2020-03-30 02:01:44+00:00,1244444668345147392,"@CoachNoon45 Only if a kid tries to get an ego and say “you can’t do this coach! I own you!”

Then I clean their de… https://t.co/mVSC9vsMHw",250459385,clh_strength,,,,,0,6
0,['watching'],0,0,2020-06-21 01:26:56+00:00,1274514102984028161,"I'm not watching this disaster, but I'm glad the rest of y'all are. https://t.co/C0jHvWskZL",825912038341885952,MobtownK,,,,,0,1
0,['wines'],0,0,2020-04-02 21:39:13+00:00,1245828156919099394,Can’t wait until I have my baby and try all the wines,2798508005,KatwianTheKat,"[[-87.066047, 33.4022082], [-86.918524, 33.4022082], [-86.918524, 33.494969], [-87.066047, 33.494969]]",United States,"Hueytown, AL",city,0,0
0,['facetime'],0,0,2020-07-05 17:37:10+00:00,1279831702240722945,"Me and Neat talk on FaceTime everyday around the same time for like a hr, but for some reason this thot ain’t answering the phone",122660363,iamshaygreen_,"[[-85.569969, 32.532449], [-85.413112, 32.532449], [-85.413112, 32.6620408], [-85.569969, 32.6620408]]",United States,"Auburn, AL",city,0,0
['drink'],0,0,['drink'],2020-07-08 12:01:10+00:00,1280834308660441089,You made my drink wrong like idk what it supposed to taste like,236601371,Sunflowerrr_Bae,,,,,0,0
0,['cooking'],0,0,2020-03-17 00:56:43+00:00,1239717264871641088,Country quarantine cooking tonight here in Avondale/Decatur/ATL https://t.co/X4Dxfq4ogA,944308254183776256,ahyde110,"[[-84.2856677, 33.754915], [-84.250519, 33.754915], [-84.250519, 33.780942], [-84.2856677, 33.780942]]",United States,"Avondale Estates, GA",city,0,11
0,['watch'],0,0,2020-07-10 03:29:50+00:00,1281430402217971712,I’m about to watch walkthroughs,913069414127407104,campaignrose,,,,,0,0
0,0,0,['stay at home'],2020-03-16 20:36:17+00:00,1239651723150594049,@LeeWSFA @theestallion 2020 is Stay at Home Summer,415997259,_HaileySutton,"[[-86.418059, 32.2845933], [-86.071398, 32.2845933], [-86.071398, 32.443697], [-86.418059, 32.443697]]",United States,"Montgomery, AL",city,1,7
0,['netflix'],0,0,2020-01-07 04:15:11+00:00,1214400061876113411,She’s a pretty good actress I’ll give her that. Nice audition tape for a new Netflix series. Not the best actress.… https://t.co/BvzA4zoLqh,52880431,Ryanwtking,"[[-86.912935, 33.294784], [-86.607247, 33.294784], [-86.607247, 33.476326], [-86.912935, 33.476326]]",United States,"Hoover, AL",city,0,0
0,0,0,['online classes'],2020-03-26 17:08:19+00:00,1243223265046343685,canvas is a JOKE online classes are a JOKE,2386241200,Cambria_Ramsey,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",United States,"Alabama, USA",admin,0,2
0,['cook'],0,0,2020-04-17 23:52:45+00:00,1251297578970423299,@Mojojo_NY I don't eat out any more i cook it myself,4365729689,ElChrizChapo,,,,,0,1
0,['clean'],0,0,2020-06-16 03:31:28+00:00,1272733505190068224,#Manfred trying to clean up this mess he made https://t.co/rtTS1HKpQD,25162417,ThatBravesGirl,"[[-98.7647213, 29.4955658], [-98.661448, 29.4955658], [-98.661448, 29.604798], [-98.7647213, 29.604798]]",United States,"Helotes, TX",city,2,5
0,['watching'],0,0,2020-06-14 10:05:13+00:00,1272107819815145473,@Seraxiz if this was an episode of black mirror i would instantly go back to watching that show,981298369082658816,dreamcasthime,,,,,0,1
0,0,0,['social media'],2020-05-19 04:22:59+00:00,1262599610096369665,@linzyt4 Matthew did not have social media.,2195841592,JohnThePrez_,"[[-93.938883, 32.332455], [-93.679985, 32.332455], [-93.679985, 32.589759], [-93.938883, 32.589759]]",United States,"Shreveport, LA",city,0,14
['game'],['watching'],0,0,2020-03-20 04:18:53+00:00,1240855305535307778,@Turn2Dude @Jess_Letterman What an incredible game that was. I was living in New York at the time and watching it o… https://t.co/OEXzfwiXu9,930395917,brock_child,,,,,0,2
0,"['watching', 'watch']",0,0,2020-03-27 21:33:12+00:00,1243652315111981056,But why try watching a new movie when I could watch love &amp; other drugs?,1468219580,HannahKowal,"[[-84.348581, 33.825123], [-84.28156, 33.825123], [-84.28156, 33.923964], [-84.348581, 33.923964]]",United States,"Brookhaven, GA",city,0,0
0,['watching'],0,0,2020-04-27 09:06:47+00:00,1254698498693500930,"reading a book, then watching the movie about it https://t.co/y8W0PeIlek",616838924,__ayanna,,,,,1,1
"['games', 'game']",['watch'],0,0,2020-03-26 14:47:15+00:00,1243187764541227014,"MLB and it's partners are airing 36 games today. 

Each fanbase gets a win as they watch a classic game from their… https://t.co/X6M4WblQ46",388428549,kayakingsmith,,,,,0,0
0,['watch'],0,0,2020-05-06 20:43:03+00:00,1258135207926009859,I haven't put on a watch in nearly two months.,14834574,Chris_Bishop,,,,,0,2
0,['beer'],0,0,2020-05-01 15:03:54+00:00,1256237918303277057,"@tinamozelle @upthestaircase After all this pandemic chaos leaves us be, we really need to grab a beer &amp; have a lon… https://t.co/4vM0IiQHDS",3436894287,rachelnix_poet,,,,,0,1
0,['cooked'],0,0,2020-05-11 03:00:22+00:00,1259679713775235073,@rayzor311 @stoolpresidente Looks like that in your home oven. Make them all the time. Just has to be cooked from t… https://t.co/RCcnjPWiJR,62865543,mmabamajammafan,"[[-86.796476, 33.125084], [-86.7063219, 33.125084], [-86.7063219, 33.18719], [-86.796476, 33.18719]]",United States,"Dargin, AL",city,0,0
0,0,0,['on tiktok'],2020-01-27 03:06:40+00:00,1221630576517636096,just went viral on tiktok 😎,1207682374890336256,keepastrapp,,,,,0,1
0,0,0,['on facebook'],2020-05-11 12:30:25+00:00,1259823174172188673,Looking forward to seeing you at 11amCST this morning for this timely coaching call. Join us on Facebook Live… https://t.co/o4ZRdXULiK,7484832,shawnlovejoy,,,,,0,0
0,0,0,['social distancing'],2020-03-23 23:00:31+00:00,1242224736341577731,Still in Tuscaloosa? Social distancing is 🔑 to helping #StopTheSpread of COVID-19. Continue to follow #UA  ➡️… https://t.co/hyyV2CYd3N,24100760,culverhouseua,,,,,0,1
['meeting'],0,0,['google hangout'],2020-03-30 05:05:38+00:00,1244490947636924416,CES PTA meeting via google hangout went a little something like this. https://t.co/MGEr4KgYIw,1565946518,TSmith0412,,,,,0,2
0,0,0,['on twitter'],2020-02-09 11:50:50+00:00,1226473528796549125,"@Cannabis_Cane This is the content I want on twitter...Floyd laying down the law!
😹😻🤣",780555214117933056,Miamuh58,"[[-80.1955611, 26.206136], [-80.0817297, 26.206136], [-80.0817297, 26.2976539], [-80.1955611, 26.2976539]]",United States,"Pompano Beach, FL",city,0,0
['mass'],0,0,['on facebook'],2020-04-06 11:34:37+00:00,1247125555415339008,Please join us for 7am #Mass everyday via LIVESTREAM on FaceBook and YouTube! https://t.co/GfJx1SqqVA #olamshrine… https://t.co/XkpxfO68iV,948331351,OLAMShrine,"[[-86.69280242919922, 34.060340881347656], [-86.69280242919922, 34.060340881347656], [-86.69280242919922, 34.060340881347656], [-86.69280242919922, 34.060340881347656]]",United States,Shrine Of The Most Blessed Sacrament,poi,1,5
0,['watch'],0,0,2020-06-23 18:41:08+00:00,1275499144128409601,@ihatemylife0002 Watch you get drafted cus WW3 lmaooo sarg balls ain’t gonna forgive you,62865543,mmabamajammafan,,,,,0,2
"['drink', 'drink']",0,0,"['drink', 'drink']",2020-05-22 19:16:43+00:00,1263911689449287689,@KuminBack I’m scared to get what you say . You drink drink 😂,94215890,_astoldbytimiya,"[[-88.301598, 30.523874], [-88.021513, 30.523874], [-88.021513, 30.843424], [-88.301598, 30.843424]]",United States,"Mobile, AL",city,0,0
0,['netflix'],0,0,2020-01-19 18:59:44+00:00,1218971319158673408,Everyone who has Netflix: “Oh so y’all still gonna sit here and try to defend this murderer because he played footb… https://t.co/bC3CiJHyso,1855643856,IsaacMcNutt02,"[[-87.741289, 34.73094], [-87.6664409, 34.73094], [-87.6664409, 34.7805085], [-87.741289, 34.7805085]]",United States,"Sheffield, AL",city,0,0
0,['watching'],0,0,2020-01-03 00:51:42+00:00,1212899301267034112,I be watching YouTube with babies and shit and be so happy cause the babies learned something new 😩,529441960,x__LoyalBeauty,"[[-86.790892, 33.564036], [-86.7397508, 33.564036], [-86.7397508, 33.624941], [-86.790892, 33.624941]]",United States,"Tarrant, AL",city,0,0
0,0,0,['on facebook'],2020-07-04 16:02:17+00:00,1279445437712302085,I pulled a “ain’t this you?” on Facebook. They weren’t ready... https://t.co/uYV9LAYgX6,2168152552,cros_berry,,,,,8,52
0,['watched'],0,0,2020-01-10 00:48:13+00:00,1215435138001141760,@ZoeysPlaylist I just watched the first episode again. I can't wait for the next one!!,32432375,julia_thomason,,,,,0,0
0,['beer'],0,0,2020-02-04 02:37:52+00:00,1224522431496368129,"Valentines Day at LSE... Wax Wings and heartbreak songs.... pizza beer and a few tears...
it doesn't get any better. https://t.co/ZWIBpyy2RA",721318513,satchelspizza,,,,,2,6
"['drink', 'drink']",['rum'],0,"['drink', 'drink']",2020-05-30 00:58:26+00:00,1266534401208434688,"@katzfan71 @FitTeddyBear I am a rum drinker, finally found one I can drink neat. Bumbu. It’s all I drink now. I use… https://t.co/1r4jQ5HAGT",2359796795,Jerry5Wiley,,,,,0,2
